SRARunAccession	SRAFileUrl
SRR28675261	https://sra-pub-src-2.s3.amazonaws.com/SRR28675261/PAE49128_pass_79a6c48c_166.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675261/SRR28675261.1
SRR28675262	https://sra-pub-src-2.s3.amazonaws.com/SRR28675262/PAE49128_pass_0c2fd855_117.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675262/SRR28675262.1
SRR28675263	https://sra-pub-src-2.s3.amazonaws.com/SRR28675263/PAE49128_pass_79a6c48c_165.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675263/SRR28675263.1
SRR28675264	https://sra-pub-src-2.s3.amazonaws.com/SRR28675264/PAE49128_pass_79a6c48c_164.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675264/SRR28675264.1
SRR28675265	https://sra-pub-src-2.s3.amazonaws.com/SRR28675265/PAE49128_pass_79a6c48c_163.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675265/SRR28675265.1
SRR28675266	https://sra-pub-src-2.s3.amazonaws.com/SRR28675266/PAE49128_pass_79a6c48c_162.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675266/SRR28675266.1
SRR28675267	https://sra-pub-src-2.s3.amazonaws.com/SRR28675267/PAE49128_pass_79a6c48c_161.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675267/SRR28675267.1
SRR28675268	https://sra-pub-src-2.s3.amazonaws.com/SRR28675268/PAE49128_pass_79a6c48c_160.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675268/SRR28675268.1
SRR28675269	https://sra-pub-src-2.s3.amazonaws.com/SRR28675269/PAE49128_pass_79a6c48c_16.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675269/SRR28675269.1
SRR28675270	https://sra-pub-src-2.s3.amazonaws.com/SRR28675270/PAE49128_pass_79a6c48c_159.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675270/SRR28675270.1
SRR28675271	https://sra-pub-src-2.s3.amazonaws.com/SRR28675271/PAE49128_pass_79a6c48c_158.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675271/SRR28675271.1
SRR28675272	https://sra-pub-src-2.s3.amazonaws.com/SRR28675272/PAE49128_pass_79a6c48c_157.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675272/SRR28675272.1
SRR28675273	https://sra-pub-src-2.s3.amazonaws.com/SRR28675273/PAE49128_pass_0c2fd855_116.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675273/SRR28675273.1
SRR28675274	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675274/SRR28675274.1;https://sra-pub-src-2.s3.amazonaws.com/SRR28675274/PAE49128_pass_0c2fd855_10.fast5.1
